user_id,expedition_id
29509787,133915904
29509787,133915877
29509787,133915853
29509787,133915352
29509787,133912859
29509787,133910153
29509787,133909793
29509787,133909669
29509787,133909624
29509787,133908380
29509787,133908226
29509787,133908214
29509787,133908092
29509787,133907681
29509787,133906337
29509787,133905783
29509787,133905676
29509787,133905558
29509787,133905448
29387394,133905404
29509787,133905274
29509787,133905033
29509787,133905006
29509787,133904998
29509787,133904992
29509787,133903817
29509787,133903577
29509787,133903559
29509787,133903497
29509787,133902984
29509787,133902961
29509787,133902951
29509787,133902929
29387394,133902371
29387394,133902343
29387394,133902239
29387394,133902175
29387394,133901976
29387394,133901951
29387394,133901908
29387394,133901747
29509787,133901584
29387394,133901578
29509787,133901552
29509787,133901510
29387394,133901313
29387394,133901162
29387394,133900924
29387394,133900883
29509787,133900150
29509787,133899908
29509787,133899859
29509787,133899735
29509787,133899645
29509787,133899509
29509787,133899461
29509787,133899400
29509787,133899385
29509787,133899353
29509787,133899325
29509787,133899305
29509787,133899219
29509787,133899207
29509787,133897787
29387394,133897601
29387394,133897211
29509787,133897053
29387394,133896687
29509787,133896365
29509787,133896336
29509787,133895768
29509787,133895383
29509787,133895201
29509787,133895177
29509787,133895162
29509787,133895151
29387394,133894901
29509787,133894640
29387394,133894617
29509787,133894543
29509787,133894497
29509787,133894479
29509787,133894431
29509787,133892678
29509787,133892530
29509787,133892493
29509787,133892486
29509787,133892370
29509787,133892329
29509787,133892297
29509787,133890978
29509787,133890044
29509787,133889102
29509787,133889086
29509787,133889081
29509787,133888286
29509787,133888189
29509787,133888151
29509787,133888103
29509787,133888042
29509787,133888033
29509787,133887939
29509787,133887692
29509787,133887223
29509787,133887005
29509787,133886912
29509787,133886812
29509787,133886777
29387394,133886563
29509787,133886553
29387394,133886376
29387394,133886182
29387394,133885931
29387394,133885774
29387394,133885194
29509787,133881655
29509787,133881513
29509787,133879617
29509787,133879604
29509787,133879554
29509787,133879353
29509787,133879011
29509787,133878585
29509787,133878434
29509787,133878333
29387394,133878133
29509787,133877792
29509787,133877570
29509787,133877476
29387394,133877056
29509787,133876939
29509787,133876798
29509787,133876360
29509787,133876315
29509787,133876291
29509787,133875989
29509787,133875938
29509787,133875902
29509787,133875865
29509787,133875707
29509787,133875183
29509787,133875023
29387394,133875020
29509787,133874972
29509787,133874960
29509787,133874945
29509787,133874919
29509787,133874890
29509787,133874885
29509787,133874875
29509787,133874827
29509787,133874820
29509787,133874798
29509787,133874736
29509787,133874665
29509787,133874539
29509787,133874532
29509787,133874507
29509787,133874471
29509787,133874427
29509787,133874404
29509787,133874399
29509787,133874377
29509787,133874363
29509787,133874289
29509787,133874277
29387394,133874153
29509787,133872254
29509787,133872191
29509787,133872155
29509787,133872021
29509787,133871990
29509787,133871956
29509787,133871727
29509787,133871437
29509787,133870011
29509787,133869961
29509787,133869344
29387394,133868940
29509787,133868665
29509787,133868587
29509787,133868555
29509787,133868364
29387394,133868225
29509787,133868121
29509787,133867944
29509787,133867936
29509787,133867916
29509787,133867096
29509787,133866851
29509787,133866516
29509787,133866473
29509787,133866457
29509787,133866357
29509787,133866343
29509787,133866322
29509787,133866304
29509787,133866277
29387394,133865562
29509787,133865469
29509787,133863569
29509787,133863043
29509787,133862960
29509787,133862726
29509787,133862678
29509787,133862064
29509787,133861943
29509787,133861876
29509787,133861304
29509787,133861058
29509787,133861022
29509787,133860817
29509787,133860750
29509787,133860426
29509787,133859506
29509787,133859247
29509787,133859227
29509787,133858863
29509787,133858696
29509787,133857997
29509787,133857690
29509787,133857591
29509787,133857454
29509787,133857384
29509787,133857346
29509787,133857311
29509787,133857301
29509787,133857289
29509787,133857270
29509787,133857264
29509787,133856766
29509787,133855408
29509787,133855375
29509787,133855357
29509787,133855293
29509787,133855273
29509787,133855089
29509787,133855037
29509787,133854965
29509787,133854949
29509787,133854941
29509787,133854932
29509787,133854903
29509787,133853818
29509787,133853532
29509787,133852475
29509787,133852342
29509787,133852308
29509787,133852298
29509787,133851907
29509787,133851902
29509787,133851868
29509787,133850610
29509787,133849743
29509787,133849129
29509787,133849037
29509787,133848363
29509787,133848348
29509787,133848266
29509787,133848145
29509787,133848101
29509787,133848074
29509787,133847994
29509787,133847872
29509787,133847786
29509787,133847752
29509787,133847523
29509787,133847456
29509787,133847447
29509787,133847444
29509787,133847436
29387394,133839162
29387394,133836976
29387394,133833219
29509787,133832310
29509787,133832133
29509787,133831905
29387394,133831758
29509787,133831701
29509787,133831458
29509787,133830408
29509787,133830331
29509787,133829788
29509787,133829750
29509787,133829722
29509787,133828782
29509787,133828596
29509787,133828496
29509787,133828375
29509787,133828362
29509787,133828350
29387394,133827831
29509787,133827054
29509787,133826460
29509787,133825822
29509787,133825573
29387394,133825290
29509787,133823220
29509787,133823107
29509787,133821476
29509787,133821251
29509787,133821038
29509787,133820515
29509787,133820475
29509787,133819849
29509787,133819805
29509787,133819622
29387394,133819143
29509787,133818931
29387394,133818914
29387394,133818831
29509787,133818830
29387394,133818762
29509787,133818751
29387394,133818626
29509787,133818583
29509787,133818389
29387394,133818383
29509787,133818227
29387394,133818224
29509787,133818061
29387394,133818044
29509787,133817847
29387394,133817826
29509787,133817607
29387394,133817590
29509787,133817485
29387394,133817475
29387394,133817328
29509787,133817288
29509787,133817202
29387394,133817169
29509787,133817113
29509787,133816588
29509787,133816488
29509787,133816374
29509787,133816072
29387394,133815429
29387394,133815315
29387394,133815082
29387394,133814992
29387394,133814975
29509787,133812950
29509787,133812860
29509787,133812846
29509787,133812684
29509787,133812502
29509787,133812485
29509787,133812420
29509787,133812325
29509787,133812231
29509787,133812224
29509787,133812211
29509787,133812190
29509787,133812112
29509787,133811940
29509787,133811849
29509787,133811834
29509787,133811831
29509787,133810411
29509787,133810395
29509787,133810113
29509787,133810089
29509787,133809475
29509787,133809068
29509787,133808802
29509787,133808572
29509787,133808161
29509787,133808082
29509787,133808077
29509787,133807802
29509787,133807602
29509787,133807580
29509787,133807498
29509787,133807212
29509787,133807184
29509787,133807124
29509787,133807059
29509787,133806964
29509787,133806944
29509787,133806904
29509787,133806828
29509787,133806682
29509787,133806654
29509787,133806635
29509787,133806611
29509787,133806588
29509787,133806222
29509787,133805912
29509787,133805897
29387394,133805404
29387394,133805260
29387394,133805246
29387394,133805017
29387394,133804897
29509787,133801856
29509787,133799477
29509787,133799270
29509787,133799116
29509787,133799023
29387394,133798917
29387394,133798904
29387394,133798797
29387394,133798703
29387394,133798651
29387394,133798583
29387394,133798389
29509787,133798259
29509787,133798025
29387394,133798008
29509787,133797614
29509787,133797607
29509787,133796993
29509787,133796516
